protein_id,go_term
YAL007C,GO:0005789
YAL007C,GO:0005793
YAL007C,GO:0005794
YAL007C,GO:0016020
YAL007C,GO:0030134
YAL007C,GO:0003674
YAL008W,GO:0000422
YAL008W,GO:0007005
YAL008W,GO:0055091
YAL008W,GO:0005739
YAL008W,GO:0005741
YAL008W,GO:0016020
YAL008W,GO:0003674
YAL009W,GO:0006629
YAL009W,GO:0006998
YAL009W,GO:0030435
YAL009W,GO:0061709
YAL009W,GO:0071071
YAL009W,GO:0071072
YAL009W,GO:0005634
YAL009W,GO:0005783
YAL009W,GO:0005789
YAL009W,GO:0016020
YAL009W,GO:0031965
YAL009W,GO:0071595
YAL009W,GO:0004721
YAL009W,GO:0019888
YAL010C,GO:0000002
YAL010C,GO:0007005
YAL010C,GO:0007031
YAL010C,GO:0015914
YAL010C,GO:0045040
YAL010C,GO:0051654
YAL010C,GO:0070096
YAL010C,GO:1990456
YAL010C,GO:0001401
YAL010C,GO:0005739
YAL010C,GO:0005741
YAL010C,GO:0032865
YAL010C,GO:0003674
YAL011W,GO:0006325
YAL011W,GO:0006338
YAL011W,GO:0007029
YAL011W,GO:0000812
YAL011W,GO:0005634
YAL011W,GO:0005739
YAL011W,GO:0003674
YAL011W,GO:0140849
YAL012W,GO:0019343
YAL012W,GO:0019344
YAL012W,GO:0019346
YAL012W,GO:1904828
YAL012W,GO:0005634
YAL012W,GO:0005737
YAL012W,GO:0004123
YAL012W,GO:0016829
YAL012W,GO:0030170
YAL012W,GO:0044540
YAL012W,GO:0047804
YAL012W,GO:0080146
YAL013W,GO:0000122
YAL013W,GO:0006325
YAL013W,GO:0006357
YAL013W,GO:0010468
YAL013W,GO:0030174
YAL013W,GO:0034605
YAL013W,GO:0045944
YAL013W,GO:0061186
YAL013W,GO:0061188
YAL013W,GO:1900089
YAL013W,GO:1900090
YAL013W,GO:1900469
YAL013W,GO:1900470
YAL013W,GO:2001246
YAL013W,GO:2001247
YAL013W,GO:0005634
YAL013W,GO:0005654
YAL013W,GO:0005737
YAL013W,GO:0005739
